时间顺序排序	地区	正式指标	正式数值	正式单位
2004年	万州区	第一产业增加值	14.6	亿元
2005年	万州区	第一产业增加值	16.4	亿元
2006年	万州区	第一产业增加值	19.1	亿元
2007年	万州区	第一产业增加值	24.9394	亿元
2008年	万州区	第一产业增加值	28.2	亿元
2009年	万州区	第一产业增加值	29.8938	亿元
2010年	万州区	第一产业增加值	33.8744	亿元
2011年	万州区	第一产业增加值	42.34	亿元
2012年	万州区	第一产业增加值	47.4828	亿元
2013年	万州区	第一产业增加值	51.8207	亿元
2014年	万州区	第一产业增加值	54.7721	亿元
2000年	万州区	第二产业增加值	31.2097	亿元
2001年	万州区	第二产业增加值	34.6358	亿元
2002年	万州区	第二产业增加值	39.5556	亿元
2003年	万州区	第二产业增加值	45.4	亿元
2004年	万州区	第二产业增加值	54.239	亿元
2005年	万州区	第二产业增加值	56.8	亿元
2006年	万州区	第二产业增加值	61.4	亿元
2007年	万州区	第二产业增加值	82.5389	亿元
2008年	万州区	第二产业增加值	126.7018	亿元
2009年	万州区	第二产业增加值	197.9724	亿元
2010年	万州区	第二产业增加值	273.73	亿元
2011年	万州区	第二产业增加值	351.17	亿元
2012年	万州区	第二产业增加值	351.6239	亿元
2013年	万州区	第二产业增加值	361.7137	亿元
2014年	万州区	第二产业增加值	392.0484	亿元
2000年	万州区	工业增加值	18.2872	亿元
2001年	万州区	工业增加值	19.9138	亿元
2002年	万州区	工业增加值	22.5224	亿元
2003年	万州区	工业增加值	25.7	亿元
2004年	万州区	工业增加值	30.9	亿元
2005年	万州区	工业增加值	33.0282	亿元
2006年	万州区	工业增加值	42.212	亿元
2007年	万州区	工业增加值	59.3189	亿元
2008年	万州区	工业增加值	97.05	亿元
2009年	万州区	工业增加值	171.89	亿元
2010年	万州区	工业增加值	235.1435	亿元
2011年	万州区	工业增加值	301.0118	亿元
2012年	万州区	工业增加值	292.5814	亿元
2013年	万州区	工业增加值	293.1601	亿元
2014年	万州区	工业增加值	312.2485	亿元
2000年	万州区	第三产业增加值	22.147	亿元
2001年	万州区	第三产业增加值	27.5524	亿元
2002年	万州区	第三产业增加值	30.7	亿元
2003年	万州区	第三产业增加值	34.5	亿元
2004年	万州区	第三产业增加值	40.5	亿元
2005年	万州区	第三产业增加值	60.3	亿元
2006年	万州区	第三产业增加值	71.8419	亿元
2007年	万州区	第三产业增加值	83.0043	亿元
2008年	万州区	第三产业增加值	101.16	亿元
2009年	万州区	第三产业增加值	158.59	亿元
2010年	万州区	第三产业增加值	192.53	亿元
2011年	万州区	第三产业增加值	229.0903	亿元
2012年	万州区	第三产业增加值	263.7551	亿元
2013年	万州区	第三产业增加值	288.4952	亿元
2014年	万州区	第三产业增加值	324.3983	亿元
2000年	万州区	总人口数	167.28	万人
2001年	万州区	总人口数	167.95	万人
2002年	万州区	总人口数	168.84	万人
2003年	万州区	总人口数	169.71	万人
2004年	万州区	总人口数	169.7	万人
2005年	万州区	总人口数	170.7	万人
2006年	万州区	总人口数	171.6	万人
2007年	万州区	总人口数	173	万人
2008年	万州区	总人口数	172.54	万人
2009年	万州区	总人口数	172.82	万人
2010年	万州区	总人口数	173.32	万人
2011年	万州区	总人口数	174.6	万人
2012年	万州区	总人口数	175.09	万人
2013年	万州区	总人口数	175.35	万人
2014年	万州区	总人口数	175.77	万人
2000年	万州区	GDP	64.9227	亿元
2001年	万州区	GDP	73.1981	亿元
2002年	万州区	GDP	81.6	亿元
2004年	万州区	GDP	109.3	亿元
2005年	万州区	GDP	133.4488	亿元
2006年	万州区	GDP	152.3	亿元
2007年	万州区	GDP	190.5	亿元
2008年	万州区	GDP	256.06	亿元
2009年	万州区	GDP	386.4546	亿元
2010年	万州区	GDP	500.1318	亿元
2011年	万州区	GDP	622.5938	亿元
2012年	万州区	GDP	662.8618	亿元
2013年	万州区	GDP	702.0296	亿元
2014年	万州区	GDP	771.2188	亿元
