时间顺序排序	地区	正式指标	正式数值	正式单位
1969年	中国	人均GDP	244.44	元
1970年	中国	人均GDP	276.34	元
1971年	中国	人均GDP	290	元
1972年	中国	人均GDP	294	元
1973年	中国	人均GDP	310	元
1974年	中国	人均GDP	311.41	元
1975年	中国	人均GDP	217	元
1976年	中国	人均GDP	318.2018	元
1977年	中国	人均GDP	341.41	元
1978年	中国	人均GDP	381	元
1979年	中国	人均GDP	419	元
1980年	中国	人均GDP	463	元
1981年	中国	人均GDP	492	元
1982年	中国	人均GDP	528	元
1983年	中国	人均GDP	583	元
1984年	中国	人均GDP	695	元
1985年	中国	人均GDP	858	元
1986年	中国	人均GDP	963	元
1987年	中国	人均GDP	1112	元
1988年	中国	人均GDP	1366	元
1989年	中国	人均GDP	1519	元
1990年	中国	人均GDP	1644	元
1991年	中国	人均GDP	1893	元
1992年	中国	人均GDP	2311	元
1993年	中国	人均GDP	2998	元
1994年	中国	人均GDP	4044	元
1995年	中国	人均GDP	5046	元
1996年	中国	人均GDP	5846	元
1997年	中国	人均GDP	6420	元
1998年	中国	人均GDP	6796	元
1999年	中国	人均GDP	7159	元
2000年	中国	人均GDP	7858	元
2001年	中国	人均GDP	8622	元
2002年	中国	人均GDP	9398	元
2003年	中国	人均GDP	10542	元
2004年	中国	人均GDP	12336	元
2005年	中国	人均GDP	14185	元
2006年	中国	人均GDP	16500	元
2007年	中国	人均GDP	20169	元
2008年	中国	人均GDP	23708	元
2009年	中国	人均GDP	25608	元
2010年	中国	人均GDP	30015	元
2011年	中国	人均GDP	35198	元
2012年	中国	人均GDP	38420	元
2013年	中国	人均GDP	41907.59	元
2014年	中国	人均GDP	46629	元
1953年	中国	GDP指数	115.6	(上年=100)
1954年	中国	GDP指数	104.2	(上年=100)
1955年	中国	GDP指数	106.8	(上年=100)
1956年	中国	GDP指数	115	(上年=100)
1957年	中国	GDP指数	105.1	(上年=100)
1958年	中国	GDP指数	121.3	(上年=100)
1959年	中国	GDP指数	108.8	(上年=100)
1960年	中国	GDP指数	99.7	(上年=100)
1961年	中国	GDP指数	72.7	(上年=100)
1962年	中国	GDP指数	94.4	(上年=100)
1963年	中国	GDP指数	110.2	(上年=100)
1964年	中国	GDP指数	118.3	(上年=100)
1965年	中国	GDP指数	117	(上年=100)
1966年	中国	GDP指数	110.7	(上年=100)
1967年	中国	GDP指数	94.3	(上年=100)
1968年	中国	GDP指数	95.9	(上年=100)
1969年	中国	GDP指数	116.9	(上年=100)
1970年	中国	GDP指数	119.4	(上年=100)
1971年	中国	GDP指数	107	(上年=100)
1972年	中国	GDP指数	103.8	(上年=100)
1973年	中国	GDP指数	107.9	(上年=100)
1974年	中国	GDP指数	102.3	(上年=100)
1975年	中国	GDP指数	108.7	(上年=100)
1976年	中国	GDP指数	98.4	(上年=100)
1977年	中国	GDP指数	107.6	(上年=100)
1978年	中国	GDP指数	111.7	(上年=100)
1979年	中国	GDP指数	107.6	(上年=100)
1980年	中国	GDP指数	107.8	(上年=100)
1981年	中国	GDP指数	105.2	(上年=100)
1982年	中国	GDP指数	109.1	(上年=100)
1983年	中国	GDP指数	110.9	(上年=100)
1984年	中国	GDP指数	115.2	(上年=100)
1985年	中国	GDP指数	113.5	(上年=100)
1986年	中国	GDP指数	108.8	(上年=100)
1987年	中国	GDP指数	111.6	(上年=100)
1988年	中国	GDP指数	111.3	(上年=100)
1989年	中国	GDP指数	104.1	(上年=100)
1990年	中国	GDP指数	103.8	(上年=100)
1991年	中国	GDP指数	109.2	(上年=100)
1992年	中国	GDP指数	114.2	(上年=100)
1993年	中国	GDP指数	114	(上年=100)
1994年	中国	GDP指数	113.1	(上年=100)
1995年	中国	GDP指数	110.9	(上年=100)
1996年	中国	GDP指数	110	(上年=100)
1997年	中国	GDP指数	109.3	(上年=100)
1998年	中国	GDP指数	107.8	(上年=100)
1999年	中国	GDP指数	107.6	(上年=100)
2000年	中国	GDP指数	108.4	(上年=100)
2001年	中国	GDP指数	108.3	(上年=100)
2002年	中国	GDP指数	109.1	(上年=100)
2003年	中国	GDP指数	110	(上年=100)
2004年	中国	GDP指数	110.1	(上年=100)
2005年	中国	GDP指数	111.3	(上年=100)
2006年	中国	GDP指数	112.7	(上年=100)
2007年	中国	GDP指数	114.2	(上年=100)
2008年	中国	GDP指数	109.6	(上年=100)
2009年	中国	GDP指数	109.2	(上年=100)
2010年	中国	GDP指数	110.4	(上年=100)
2011年	中国	GDP指数	109.3	(上年=100)
2012年	中国	GDP指数	107.7	(上年=100)
2013年	中国	GDP指数	107.6712	(上年=100)
2014年	中国	GDP指数	107.3	(上年=100)
1953年	中国	人均GDP指数	113.1	(上年=100)
1954年	中国	人均GDP指数	101.8	(上年=100)
1955年	中国	人均GDP指数	104.5	(上年=100)
1956年	中国	人均GDP指数	112.7	(上年=100)
1957年	中国	人均GDP指数	102.4	(上年=100)
1958年	中国	人均GDP指数	118.3	(上年=100)
1959年	中国	人均GDP指数	106.7	(上年=100)
1960年	中国	人均GDP指数	99.5	(上年=100)
1961年	中国	人均GDP指数	73.4	(上年=100)
1962年	中国	人均GDP指数	93.6	(上年=100)
1963年	中国	人均GDP指数	107.5	(上年=100)
1964年	中国	人均GDP指数	115.5	(上年=100)
1965年	中国	人均GDP指数	114.3	(上年=100)
1966年	中国	人均GDP指数	107.7	(上年=100)
1967年	中国	人均GDP指数	91.9	(上年=100)
1968年	中国	人均GDP指数	93.4	(上年=100)
1969年	中国	人均GDP指数	113.7	(上年=100)
1970年	中国	人均GDP指数	116.1	(上年=100)
1971年	中国	人均GDP指数	104.1	(上年=100)
1972年	中国	人均GDP指数	101.2	(上年=100)
1973年	中国	人均GDP指数	105.4	(上年=100)
1974年	中国	人均GDP指数	100.2	(上年=100)
1975年	中国	人均GDP指数	106.8	(上年=100)
1976年	中国	人均GDP指数	96.9	(上年=100)
1977年	中国	人均GDP指数	106.2	(上年=100)
1978年	中国	人均GDP指数	110.2	(上年=100)
1979年	中国	人均GDP指数	106.1	(上年=100)
1980年	中国	人均GDP指数	106.5	(上年=100)
1981年	中国	人均GDP指数	103.9	(上年=100)
1982年	中国	人均GDP指数	107.5	(上年=100)
1983年	中国	人均GDP指数	109.3	(上年=100)
1984年	中国	人均GDP指数	113.7	(上年=100)
1985年	中国	人均GDP指数	111.9	(上年=100)
1986年	中国	人均GDP指数	107.2	(上年=100)
1987年	中国	人均GDP指数	109.8	(上年=100)
1988年	中国	人均GDP指数	109.5	(上年=100)
1989年	中国	人均GDP指数	102.5	(上年=100)
1990年	中国	人均GDP指数	102.3	(上年=100)
1991年	中国	人均GDP指数	107.7	(上年=100)
1992年	中国	人均GDP指数	112.8	(上年=100)
1993年	中国	人均GDP指数	112.7	(上年=100)
1994年	中国	人均GDP指数	111.8	(上年=100)
1995年	中国	人均GDP指数	109.7	(上年=100)
1996年	中国	人均GDP指数	108.9	(上年=100)
1997年	中国	人均GDP指数	108.2	(上年=100)
1998年	中国	人均GDP指数	106.8	(上年=100)
1999年	中国	人均GDP指数	106.7	(上年=100)
2000年	中国	人均GDP指数	107.6	(上年=100)
2001年	中国	人均GDP指数	107.5	(上年=100)
2002年	中国	人均GDP指数	108.4	(上年=100)
2003年	中国	人均GDP指数	109.3	(上年=100)
2004年	中国	人均GDP指数	109.4	(上年=100)
2005年	中国	人均GDP指数	110.7	(上年=100)
2006年	中国	人均GDP指数	112	(上年=100)
2007年	中国	人均GDP指数	113.6	(上年=100)
2008年	中国	人均GDP指数	109.1	(上年=100)
2009年	中国	人均GDP指数	108.7	(上年=100)
2010年	中国	人均GDP指数	109.9	(上年=100)
2011年	中国	人均GDP指数	108.8	(上年=100)
2012年	中国	人均GDP指数	107.1	(上年=100)
2013年	中国	人均GDP指数	107.1409	(上年=100)
2014年	中国	人均GDP指数	106.7	(上年=100)
