时间顺序排序	地区	正式指标	正式数值	正式单位
2014年	安徽省	国内旅游人数	37898.8	万人次
2000年	安徽省	国内旅游收入	1505000	万元
2001年	安徽省	国内旅游收入	1749100	万元
2002年	安徽省	国内旅游收入	2029200	万元
2003年	安徽省	国内旅游收入	1871134	万元
2004年	安徽省	国内旅游收入	2499600	万元
2005年	安徽省	国内旅游收入	2890000	万元
2006年	安徽省	国内旅游收入	3876315	万元
2007年	安徽省	国内旅游收入	5437000	万元
2008年	安徽省	国内旅游收入	7002400	万元
2009年	安徽省	国内旅游收入	8638000	万元
2010年	安徽省	国内旅游收入	10948100	万元
2011年	安徽省	国内旅游收入	18150000	万元
2012年	安徽省	国内旅游收入	25191000	万元
2013年	安徽省	国内旅游收入	29032000	万元
2014年	安徽省	国内旅游收入	33097000	万元
2000年	安徽省	旅行社数	333	个
2001年	安徽省	旅行社数	374	个
2002年	安徽省	旅行社数	416	个
2003年	安徽省	旅行社数	480	个
2004年	安徽省	旅行社数	530	个
2005年	安徽省	旅行社数	599	个
2006年	安徽省	旅行社数	638	个
2007年	安徽省	旅行社数	669	个
2008年	安徽省	旅行社数	791	个
2009年	安徽省	旅行社数	890	个
2010年	安徽省	旅行社数	947	个
2011年	安徽省	旅行社数	1057	个
2012年	安徽省	旅行社数	1124	个
2013年	安徽省	旅行社数	1098	个
2014年	安徽省	旅行社数	1200	个
2000年	安徽省	铁路客运量	2994	万人
2001年	安徽省	铁路客运量	3016	万人
2002年	安徽省	铁路客运量	3057	万人
2003年	安徽省	铁路客运量	2873	万人
2004年	安徽省	铁路客运量	3623	万人
2005年	安徽省	铁路客运量	3536.13	万人
2006年	安徽省	铁路客运量	4000	万人
2007年	安徽省	铁路客运量	4242.33	万人
2008年	安徽省	铁路客运量	4662	万人
2009年	安徽省	铁路客运量	5131	万人
2010年	安徽省	铁路客运量	5552.45	万人
2011年	安徽省	铁路客运量	5979.57	万人
2012年	安徽省	铁路客运量	6385.3	万人
2013年	安徽省	铁路客运量	7210.49	万人
2014年	安徽省	铁路客运量	7972	万人
2000年	安徽省	人均公园绿地面积	4.05	平方米
2001年	安徽省	人均公园绿地面积	4.46	平方米
2002年	安徽省	人均公园绿地面积	4.9	平方米
2003年	安徽省	人均公园绿地面积	5.39	平方米
2004年	安徽省	人均公园绿地面积	5.93	平方米
2005年	安徽省	人均公园绿地面积	6.58	平方米
2006年	安徽省	人均公园绿地面积	7.28	平方米
2007年	安徽省	人均公园绿地面积	8.72	平方米
2008年	安徽省	人均公园绿地面积	9.29	平方米
2009年	安徽省	人均公园绿地面积	10.23	平方米
2010年	安徽省	人均公园绿地面积	11	平方米
2011年	安徽省	人均公园绿地面积	11.88	平方米
2012年	安徽省	人均公园绿地面积	11.92	平方米
2013年	安徽省	人均公园绿地面积	12.47	平方米
2014年	安徽省	人均公园绿地面积	13.2	平方米
2000年	安徽省	旅行社营业收入	59940.07	万元
2001年	安徽省	旅行社营业收入	77704.5	万元
2002年	安徽省	旅行社营业收入	96864.31	万元
2003年	安徽省	旅行社营业收入	78560.33	万元
2004年	安徽省	旅行社营业收入	156111.72	万元
2005年	安徽省	旅行社营业收入	177353.02	万元
2006年	安徽省	旅行社营业收入	240454.28	万元
2007年	安徽省	旅行社营业收入	287193.19	万元
2008年	安徽省	旅行社营业收入	299736.85	万元
2009年	安徽省	旅行社营业收入	326987	万元
2010年	安徽省	旅行社营业收入	433178.35	万元
2011年	安徽省	旅行社营业收入	536616.31	万元
2012年	安徽省	旅行社营业收入	503800	万元
2013年	安徽省	旅行社营业收入	541700	万元
2014年	安徽省	旅行社营业收入	514700	万元
2000年	安徽省	公路客运量	58026	万人
2001年	安徽省	公路客运量	58245	万人
2002年	安徽省	公路客运量	62087	万人
2003年	安徽省	公路客运量	59544	万人
2004年	安徽省	公路客运量	65100	万人
2005年	安徽省	公路客运量	70000	万人
2006年	安徽省	公路客运量	74700	万人
2007年	安徽省	公路客运量	82247	万人
2008年	安徽省	公路客运量	124427	万人
2009年	安徽省	公路客运量	136000	万人
2010年	安徽省	公路客运量	153700	万人
2011年	安徽省	公路客运量	179440	万人
2012年	安徽省	公路客运量	206888	万人
2013年	安徽省	公路客运量	119433	万人
2014年	安徽省	公路客运量	131403	万人
2000年	安徽省	星级饭店数	169	个
2001年	安徽省	星级饭店数	215	个
2002年	安徽省	星级饭店数	272	个
2003年	安徽省	星级饭店数	298	个
2004年	安徽省	星级饭店数	353	个
2005年	安徽省	星级饭店数	373	个
2006年	安徽省	星级饭店数	392	个
2007年	安徽省	星级饭店数	403	个
2008年	安徽省	星级饭店数	433	个
2009年	安徽省	星级饭店数	456	个
2010年	安徽省	星级饭店数	417	个
2011年	安徽省	星级饭店数	390	个
2012年	安徽省	星级饭店数	453	个
2013年	安徽省	星级饭店数	471	个
2014年	安徽省	星级饭店数	466	个
2000年	安徽省	居民旅游消费价格指数	100.7	(上年=100)
2001年	安徽省	居民旅游消费价格指数	100.6	(上年=100)
2002年	安徽省	居民旅游消费价格指数	103.7	(上年=100)
2003年	安徽省	居民旅游消费价格指数	93.9	(上年=100)
2004年	安徽省	居民旅游消费价格指数	98.2	(上年=100)
2005年	安徽省	居民旅游消费价格指数	96.6	(上年=100)
2006年	安徽省	居民旅游消费价格指数	102.8	(上年=100)
2007年	安徽省	居民旅游消费价格指数	101.8	(上年=100)
2008年	安徽省	居民旅游消费价格指数	100.72	(上年=100)
2009年	安徽省	居民旅游消费价格指数	101	(上年=100)
2010年	安徽省	居民旅游消费价格指数	103.5	(上年=100)
2011年	安徽省	居民旅游消费价格指数	101.93	(上年=100)
2012年	安徽省	居民旅游消费价格指数	103.6	(上年=100)
2013年	安徽省	居民旅游消费价格指数	104.47	(上年=100)
2014年	安徽省	居民旅游消费价格指数	106.5	(上年=100)
2000年	安徽省	农村居民家庭人均总收入	2585.6	元
2001年	安徽省	农村居民家庭人均总收入	2735.85	元
2002年	安徽省	农村居民家庭人均总收入	2876	元
2003年	安徽省	农村居民家庭人均总收入	2843	元
2004年	安徽省	农村居民家庭人均总收入	3373.7	元
2005年	安徽省	农村居民家庭人均总收入	3669	元
2006年	安徽省	农村居民家庭人均总收入	4130.1	元
2007年	安徽省	农村居民家庭人均总收入	4832	元
2008年	安徽省	农村居民家庭人均总收入	5770	元
2009年	安徽省	农村居民家庭人均总收入	6001	元
2010年	安徽省	农村居民家庭人均总收入	6896	元
2011年	安徽省	农村居民家庭人均总收入	8469.1	元
2012年	安徽省	农村居民家庭人均总收入	9630.25	元
2013年	安徽省	农村居民家庭人均总收入	10349.23	元
2014年	安徽省	农村居民家庭人均总收入	12467.63	元
