地区	正式指标	正式数值
南京市	二氧化氮年平均浓度	55
南京市	可吸入颗粒物（PM10）年平均浓度	137
南京市	一氧化碳日均值第95百分位浓度	2.1
南京市	臭氧（O3）日最大8小时第90百分位浓度	138
南京市	细颗粒物（PM2.5）年平均浓度	78
南京市	空气质量达到及好于二级的天数	198
杭州市	二氧化硫年平均浓度	28
杭州市	二氧化氮年平均浓度	53
杭州市	可吸入颗粒物（PM10）年平均浓度	106
杭州市	一氧化碳日均值第95百分位浓度	1.9
杭州市	臭氧（O3）日最大8小时第90百分位浓度	155
杭州市	细颗粒物（PM2.5）年平均浓度	70
杭州市	空气质量达到及好于二级的天数	212
合肥市	二氧化硫年平均浓度	22
合肥市	二氧化氮年平均浓度	39
合肥市	可吸入颗粒物（PM10）年平均浓度	115
合肥市	一氧化碳日均值第95百分位浓度	1.8
合肥市	臭氧（O3）日最大8小时第90百分位浓度	101
合肥市	细颗粒物（PM2.5）年平均浓度	88
合肥市	空气质量达到及好于二级的天数	180
福州市	二氧化硫年平均浓度	11
福州市	二氧化氮年平均浓度	43
福州市	可吸入颗粒物（PM10）年平均浓度	64
福州市	一氧化碳日均值第95百分位浓度	1.2
福州市	臭氧（O3）日最大8小时第90百分位浓度	73
福州市	细颗粒物（PM2.5）年平均浓度	36
福州市	空气质量达到及好于二级的天数	343
南昌市	二氧化硫年平均浓度	40
南昌市	二氧化氮年平均浓度	40
南昌市	可吸入颗粒物（PM10）年平均浓度	116
南昌市	一氧化碳日均值第95百分位浓度	1.8
南昌市	臭氧（O3）日最大8小时第90百分位浓度	122
南昌市	细颗粒物（PM2.5）年平均浓度	69
南昌市	空气质量达到及好于二级的天数	230
济南市	二氧化硫年平均浓度	95
济南市	二氧化氮年平均浓度	61
济南市	可吸入颗粒物（PM10）年平均浓度	199
济南市	一氧化碳日均值第95百分位浓度	3.1
济南市	臭氧（O3）日最大8小时第90百分位浓度	190
济南市	细颗粒物（PM2.5）年平均浓度	110
济南市	空气质量达到及好于二级的天数	79
郑州市	二氧化硫年平均浓度	59
郑州市	二氧化氮年平均浓度	52
郑州市	可吸入颗粒物（PM10）年平均浓度	171
郑州市	一氧化碳日均值第95百分位浓度	4.9
郑州市	臭氧（O3）日最大8小时第90百分位浓度	109
郑州市	细颗粒物（PM2.5）年平均浓度	108
郑州市	空气质量达到及好于二级的天数	134
武汉市	二氧化硫年平均浓度	33
武汉市	二氧化氮年平均浓度	60
武汉市	可吸入颗粒物（PM10）年平均浓度	124
武汉市	一氧化碳日均值第95百分位浓度	2.1
武汉市	臭氧（O3）日最大8小时第90百分位浓度	161
武汉市	细颗粒物（PM2.5）年平均浓度	94
武汉市	空气质量达到及好于二级的天数	161
长沙市	二氧化硫年平均浓度	33
长沙市	二氧化氮年平均浓度	46
长沙市	可吸入颗粒物（PM10）年平均浓度	94
长沙市	一氧化碳日均值第95百分位浓度	2.3
长沙市	臭氧（O3）日最大8小时第90百分位浓度	134
长沙市	细颗粒物（PM2.5）年平均浓度	83
长沙市	空气质量达到及好于二级的天数	196
广州市	二氧化硫年平均浓度	20
广州市	二氧化氮年平均浓度	52
广州市	可吸入颗粒物（PM10）年平均浓度	72
广州市	一氧化碳日均值第95百分位浓度	1.5
广州市	臭氧（O3）日最大8小时第90百分位浓度	156
广州市	细颗粒物（PM2.5）年平均浓度	53
广州市	空气质量达到及好于二级的天数	259
南宁市	二氧化硫年平均浓度	19
南宁市	二氧化氮年平均浓度	38
南宁市	可吸入颗粒物（PM10）年平均浓度	90
南宁市	一氧化碳日均值第95百分位浓度	1.7
南宁市	臭氧（O3）日最大8小时第90百分位浓度	125
南宁市	细颗粒物（PM2.5）年平均浓度	57
南宁市	空气质量达到及好于二级的天数	275
海口市	二氧化硫年平均浓度	7
海口市	二氧化氮年平均浓度	17
海口市	可吸入颗粒物（PM10）年平均浓度	47
海口市	一氧化碳日均值第95百分位浓度	1
海口市	臭氧（O3）日最大8小时第90百分位浓度	106
海口市	细颗粒物（PM2.5）年平均浓度	27
海口市	空气质量达到及好于二级的天数	342
重庆市	二氧化硫年平均浓度	32
重庆市	二氧化氮年平均浓度	38
重庆市	可吸入颗粒物（PM10）年平均浓度	106
重庆市	一氧化碳日均值第95百分位浓度	1.5
重庆市	臭氧（O3）日最大8小时第90百分位浓度	163
重庆市	细颗粒物（PM2.5）年平均浓度	70
重庆市	空气质量达到及好于二级的天数	207
成都市	二氧化硫年平均浓度	31
成都市	二氧化氮年平均浓度	63
成都市	可吸入颗粒物（PM10）年平均浓度	150
成都市	一氧化碳日均值第95百分位浓度	2.6
成都市	臭氧（O3）日最大8小时第90百分位浓度	157
成都市	细颗粒物（PM2.5）年平均浓度	96
成都市	空气质量达到及好于二级的天数	139
贵阳市	二氧化硫年平均浓度	31
贵阳市	二氧化氮年平均浓度	33
贵阳市	可吸入颗粒物（PM10）年平均浓度	85
贵阳市	一氧化碳日均值第95百分位浓度	1.3
贵阳市	臭氧（O3）日最大8小时第90百分位浓度	101
贵阳市	细颗粒物（PM2.5）年平均浓度	53
贵阳市	空气质量达到及好于二级的天数	278
昆明市	二氧化硫年平均浓度	28
昆明市	二氧化氮年平均浓度	40
昆明市	可吸入颗粒物（PM10）年平均浓度	82
昆明市	一氧化碳日均值第95百分位浓度	2
昆明市	臭氧（O3）日最大8小时第90百分位浓度	121
昆明市	细颗粒物（PM2.5）年平均浓度	42
昆明市	空气质量达到及好于二级的天数	329
拉萨市	二氧化硫年平均浓度	9
拉萨市	二氧化氮年平均浓度	22
拉萨市	可吸入颗粒物（PM10）年平均浓度	64
拉萨市	一氧化碳日均值第95百分位浓度	2
拉萨市	臭氧（O3）日最大8小时第90百分位浓度	143
拉萨市	细颗粒物（PM2.5）年平均浓度	26
拉萨市	空气质量达到及好于二级的天数	341
西安市	二氧化硫年平均浓度	46
西安市	二氧化氮年平均浓度	57
西安市	可吸入颗粒物（PM10）年平均浓度	189
西安市	一氧化碳日均值第95百分位浓度	4.5
西安市	臭氧（O3）日最大8小时第90百分位浓度	132
西安市	细颗粒物（PM2.5）年平均浓度	105
西安市	空气质量达到及好于二级的天数	157
兰州市	二氧化硫年平均浓度	33
兰州市	二氧化氮年平均浓度	35
兰州市	可吸入颗粒物（PM10）年平均浓度	153
兰州市	一氧化碳日均值第95百分位浓度	2.2
兰州市	臭氧（O3）日最大8小时第90百分位浓度	92
兰州市	细颗粒物（PM2.5）年平均浓度	67
兰州市	空气质量达到及好于二级的天数	193
西宁市	二氧化硫年平均浓度	48
西宁市	二氧化氮年平均浓度	41
西宁市	可吸入颗粒物（PM10）年平均浓度	163
西宁市	一氧化碳日均值第95百分位浓度	3.3
西宁市	臭氧（O3）日最大8小时第90百分位浓度	102
西宁市	细颗粒物（PM2.5）年平均浓度	70
西宁市	空气质量达到及好于二级的天数	216
银川市	二氧化硫年平均浓度	77
银川市	二氧化氮年平均浓度	43
银川市	可吸入颗粒物（PM10）年平均浓度	118
银川市	一氧化碳日均值第95百分位浓度	2.7
银川市	臭氧（O3）日最大8小时第90百分位浓度	107
银川市	细颗粒物（PM2.5）年平均浓度	51
银川市	空气质量达到及好于二级的天数	249
乌鲁木齐市	二氧化硫年平均浓度	29
乌鲁木齐市	二氧化氮年平均浓度	61
乌鲁木齐市	可吸入颗粒物（PM10）年平均浓度	146
乌鲁木齐市	一氧化碳日均值第95百分位浓度	5.9
乌鲁木齐市	臭氧（O3）日最大8小时第90百分位浓度	116
乌鲁木齐市	细颗粒物（PM2.5）年平均浓度	88
乌鲁木齐市	空气质量达到及好于二级的天数	184
