地区	正式指标	正式数值
江西省	工业污染治理完成投资	123466
山东省	固定资产投资额	424955000
山东省	规模以上工业利润总额	88439100
山东省	工业用水总量	28.6
山东省	工业污染治理完成投资	1416464
河南省	规模以上工业利润总额	49461900
河南省	工业用水总量	52.6
河南省	工业污染治理完成投资	554592
湖北省	固定资产投资额	229153000
湖北省	规模以上工业利润总额	24026300
湖北省	工业增加值	10992.79
湖北省	工业用水总量	90.2
湖北省	工业污染治理完成投资	262884
湖南省	固定资产投资额	212429000
湖南省	规模以上工业利润总额	16883000
湖南省	工业用水总量	87.7
湖南省	工业污染治理完成投资	173424
广东省	规模以上工业利润总额	70149900
广东省	工业增加值	29144.15
广东省	工业用水总量	117
广东省	工业污染治理完成投资	378641
广西	固定资产投资额	138432000
广西	规模以上工业利润总额	10857100
广西	工业增加值	6065.34
广西	工业用水总量	56.8
广西	工业污染治理完成投资	178909
海南省	固定资产投资额	31122000
海南省	规模以上工业利润总额	885000
海南省	工业增加值	514.4
海南省	工业用水总量	3.9
海南省	工业污染治理完成投资	56152
重庆市	规模以上工业利润总额	12296500
重庆市	工业用水总量	36.7
重庆市	工业污染治理完成投资	50284
四川省	规模以上工业利润总额	22370000
四川省	工业用水总量	44.7
四川省	工业污染治理完成投资	232452
贵州省	规模以上工业利润总额	6286800
贵州省	工业增加值	3140.88
贵州省	工业用水总量	27.7
贵州省	工业污染治理完成投资	184765
云南省	固定资产投资额	114985000
云南省	规模以上工业利润总额	5160800
云南省	工业增加值	3898.97
云南省	工业用水总量	24.6
云南省	工业污染治理完成投资	244003
西藏	固定资产投资额	10692000
西藏	规模以上工业利润总额	125600
西藏	工业增加值	66.16
西藏	工业用水总量	1.7
西藏	工业污染治理完成投资	10283
陕西省	工业用水总量	14
陕西省	工业污染治理完成投资	334478
甘肃省	规模以上工业利润总额	2431700
甘肃省	工业用水总量	12.8
甘肃省	工业污染治理完成投资	176244
青海省	规模以上工业利润总额	1061900
青海省	工业用水总量	2.4
青海省	工业污染治理完成投资	74508
宁夏	固定资产投资额	31738000
宁夏	规模以上工业利润总额	1180600
宁夏	工业增加值	973.53
宁夏	工业用水总量	5
宁夏	工业污染治理完成投资	272967
新疆	固定资产投资额	94477000
新疆	规模以上工业利润总额	7316500
新疆	工业用水总量	13.3
新疆	工业污染治理完成投资	316542
